x,Rzeczywiste wartości,Wartości z wyrażenia
-10.0,-5247.0,-5247.002903861535
-9.8,-4944.44,-4944.442584139837
-9.6,-4653.8,-4653.802281136586
-9.4,-4374.84,-4374.841994811462
-9.2,-4107.32,-4107.321725103092
-9.0,-3851.0,-3851.0014719287224
-8.8,-3605.64,-3605.6412351838394
-8.6,-3371.0,-3371.0010147418357
-8.4,-3146.84,-3146.840810453667
-8.2,-2932.92,-2932.9206221475124
-8.0,-2729.0,-2729.0004496284832
-7.8,-2534.84,-2534.840292678294
-7.6,-2350.2,-2350.200151054994
-7.4,-2174.84,-2174.840024492703
-7.2,-2008.52,-2008.5199127013468
-7.0,-1851.0,-1850.9998153664615
-6.8,-1702.04,-1702.0397321489845
-6.6,-1561.4,-1561.3996626851206
-6.4,-1428.84,-1428.8396065860613
-6.2,-1304.12,-1304.1195634381766
-6.0,-1187.0,-1186.999532802661
-5.8,-1077.24,-1077.2395142156454
-5.6,-974.6,-974.5995071881772
-5.4,-878.84,-878.8395112062641
-5.2,-789.72,-789.7195257309361
-5.0,-707.0,-706.9995501983424
-4.8,-630.44,-630.4395840198338
-4.6,-559.8,-559.7996265820234
-4.4,-494.84,-494.8396772467718
-4.2,-435.32,-435.3197353510077
-4.0,-381.0,-380.999800206275
-3.8,-331.64,-331.63987109777105
-3.6,-287.0,-286.99994728253347
-3.4,-246.84,-246.84002798614952
-3.2,-210.92,-210.9201123968995
-3.0,-179.0,-179.00019965533795
-2.8,-150.84,-150.8402888355223
-2.6,-126.2,-126.20037891034114
-2.4,-104.84,-104.84046868505759
-2.2,-86.52,-86.52055666327337
-2.0,-71.0,-71.00064075748764
-1.8,-58.04,-58.04071760333164
-1.6,-47.4,-47.40078070712899
-1.4,-38.84,-38.84081433359589
-1.2,-32.12,-32.120764900919546
-1.0,-27.0,-27.00021899816904
-0.8,-23.24,-23.244093120551767
-0.6,-20.6,-20.601921935704716
-0.4,-18.84,-18.841777627126653
-0.2,-17.72,-17.721767973357853
0.0,-17.0,
0.2,-16.44,-16.44148417741431
0.4,-15.8,-15.80158385852194
0.6,-14.84,-14.841490337689137
0.8,-13.32,-13.321630505972374
1.0,-11.0,-11.00109941986148
1.2,-7.64,-7.640258413374825
1.4,-3.0,-3.0018669531643685
1.6,3.16,3.158372592207357
1.8,11.08,11.078462587376443
2.0,21.0,20.998531737008804
2.2,33.16,33.15859905213901
2.4,47.8,47.798669572708974
2.6,65.16,65.15874474425618
2.8,85.48,85.478824685363
3.0,109.0,108.99890887543664
3.2,135.96,135.95899641207436
3.4,166.6,166.59908612539152
3.6,201.16,201.15917663916358
3.8,239.88,239.87926641198482
4.0,283.0,282.9993537726518
4.2,330.76,330.75943695684356
4.4,383.4,383.3995141492527
4.6,441.16,441.15958353408723
4.8,504.28,504.2796433578782
5.0,573.0,572.9996919919446
5.2,647.56,647.559728045857
5.4,728.2,728.1997504419802
5.6,815.16,815.1597585512144
5.8,908.68,908.6797523252501
6.0,1009.0,1008.9997324471839
6.2,1116.36,1116.3597004939686
6.4,1231.0,1230.9996591045742
6.6,1353.16,1353.1596121442349
6.8,1483.08,1483.079564849946
7.0,1621.0,1620.9995239354118
7.2,1767.16,1767.1594976245992
7.4,1921.8,1921.7994955714234
7.6,2085.16,2085.1595286087145
7.8,2257.48,2257.4796082524554
8.0,2439.0,2438.99974586778
8.2,2629.96,2629.959951382743
8.4,2830.6,2830.600231416903
8.6,3041.16,3041.160586678737
8.8,3261.88,3261.8810084856564
9.0,3493.0,3493.0014742823255
9.2,3734.76,3734.76194208954
9.4,3987.4,3987.4023439204275
9.6,4251.16,4251.162578365438
9.8,4526.28,4526.282502777183
10.0,4813.0,4813.0019257707245
