x,Rzeczywiste wartości,Wartości z wyrażenia
-1.0,-27.0,-26.917098088405353
-0.98,-26.56676,-26.60470137569716
-0.96,-26.14688,-26.183331158418305
-0.94,-25.74012,-25.767356177552983
-0.92,-25.34624,-25.364558561005257
-0.9,-24.965,-24.975997759196655
-0.88,-24.59616,-24.601501888390207
-0.86,-24.23948,-24.24062029725866
-0.84,-23.89472,-23.892858253807976
-0.82,-23.56164,-23.55774136715911
-0.8,-23.24,-23.23483087646317
-0.78,-22.92956,-22.923723653830884
-0.76,-22.63008,-22.624047725272113
-0.74,-22.34132,-22.335456974962195
-0.72,-22.06304,-22.057626253004692
-0.7,-21.795,-21.79024722380971
-0.68,-21.53696,-21.533024972813486
-0.66,-21.28868,-21.28567528316552
-0.64,-21.04992,-21.047922469622463
-0.62,-20.82044,-20.81949766259829
-0.6,-20.6,-20.60013745051102
-0.58,-20.38836,-20.38958280512604
-0.56,-20.18528,-20.187578229569286
-0.54,-19.99052,-19.99387108123023
-0.52,-19.80384,-19.808211031888764
-0.5,-19.625,-19.630349635358566
-0.48,-19.45376,-19.460039979061712
-0.46,-19.28988,-19.297036400478998
-0.44,-19.13312,-19.14109425241311
-0.42,-18.98324,-18.99196970208545
-0.4,-18.84,-18.849419546707374
-0.38,-18.70316,-18.713201016794596
-0.36,-18.57248,-18.583071496331726
-0.34,-18.44772,-18.458787909000645
-0.32,-18.32864,-18.34010445029428
-0.3,-18.215,-18.226754602596213
-0.28,-18.10656,-18.119042791179
-0.26,-18.00308,-18.015416201338596
-0.24,-17.90432,-17.91673191245514
-0.22,-17.81004,-17.822461681203052
-0.2,-17.72,-17.732349110700774
-0.18,-17.63396,-17.646144728004806
-0.16,-17.55168,-17.563596785000705
-0.14,-17.47292,-17.48444684233097
-0.12,-17.39744,-17.408422898253225
-0.1,-17.325,-17.33522432877729
-0.08,-17.25536,-17.264482433669095
-0.06,-17.18828,-17.19563226123715
-0.04,-17.12352,-17.127322290388015
-0.02,-17.06084,-17.05148750473622
0.0,-17.0,
0.02,-16.94076,-16.962134837523692
0.04,-16.88288,-16.89920843803289
0.06,-16.82612,-16.84006685101356
0.08,-16.77024,-16.782605828973725
0.1,-16.715,-16.726120930049355
0.12,-16.66016,-16.670202996894513
0.14,-16.60548,-16.61453696264671
0.16,-16.55072,-16.558845461148874
0.18,-16.49564,-16.502868672952786
0.2,-16.44,-16.446355867311897
0.22,-16.38356,-16.389061417978183
0.24,-16.32608,-16.33074275411017
0.26,-16.26732,-16.271159230438986
0.28,-16.20704,-16.210071467671575
0.3,-16.145,-16.147240948295288
0.32,-16.08096,-16.082429758108255
0.34,-16.01468,-16.01540041435795
0.36,-15.94592,-15.945915747101406
0.38,-15.87444,-15.873738814141912
0.4,-15.8,-15.798632837539806
0.42,-15.72236,-15.720361154093656
0.44,-15.64128,-15.638687174788801
0.46,-15.55652,-15.553374349776105
0.48,-15.46784,-15.464186136390653
0.5,-15.375,-15.370885968279788
0.52,-15.27776,-15.273237224013176
0.54,-15.17588,-15.171003193666856
0.56,-15.06912,-15.063947041844225
0.58,-14.95724,-14.951831765431187
0.6,-14.84,-14.83442014407103
0.62,-14.71716,-14.711474680858595
0.64,-14.58848,-14.582757530040618
0.66,-14.45372,-14.448030407485808
0.68,-14.31264,-14.30705447822382
0.7,-14.165,-14.159590213244915
0.72,-14.01056,-14.005397204687196
0.74,-13.84908,-13.844233924018521
0.76,-13.68032,-13.675857401044885
0.78,-13.50404,-13.500022791228673
0.8,-13.32,-13.316482782663073
0.82,-13.12796,-13.124986768288473
0.84,-12.92768,-12.925279666731589
0.86,-12.71892,-12.71710020394509
0.88,-12.50144,-12.500178343661958
0.9,-12.275,-12.274231329845804
0.92,-12.03936,-12.038957379149133
0.94,-11.79428,-11.794025215752349
0.96,-11.53952,-11.539055855787097
0.98,-11.27484,-11.27358900068182
1.0,-11.0,-10.99701637923793
