X1,y,Rzeczywiste wartości,Wartości z wyrażenia
0.0,0.0,1.0,0.31166102238425514
0.0,10.0,71.0,84.01816846379879
0.0,20.0,141.0,167.72467590521333
0.0,30.0,211.0,251.43118334662788
0.0,40.0,281.0,335.1376907880424
0.0,50.0,351.0,418.84419822945694
0.0,60.0,421.0,502.5507056708715
0.0,70.0,491.0,586.2572131122861
0.0,80.0,561.0,669.9637205537006
0.0,90.0,631.0,753.6702279951152
0.0,100.0,701.0,837.3767354365297
1.0,0.0,2.0,1.314967747346065
1.0,10.0,102.0,114.84484569737597
1.0,20.0,202.0,228.37472357071184
1.0,30.0,302.0,341.9046013673327
1.0,40.0,402.0,455.43447908721754
1.0,50.0,502.0,568.9643567303455
1.0,60.0,602.0,682.4942342966955
1.0,70.0,702.0,796.0241117862466
1.0,80.0,802.0,909.5539891989779
1.0,90.0,902.0,1023.0838665348682
1.0,100.0,1002.0,1136.6137437938967
2.0,0.0,5.0,4.317407299971151
2.0,10.0,135.0,147.67065517849528
2.0,20.0,265.0,291.0239029034343
2.0,30.0,395.0,434.37715047474626
2.0,40.0,525.0,577.7303978923892
2.0,50.0,655.0,721.0836451563209
2.0,60.0,785.0,864.4368922664996
2.0,70.0,915.0,1007.790139222883
2.0,80.0,1045.0,1151.1433860254292
2.0,90.0,1175.0,1294.4966326740964
2.0,100.0,1305.0,1437.8498791688419
3.0,0.0,10.0,9.31897813473765
3.0,10.0,170.0,182.49559536045814
3.0,20.0,330.0,355.672212355505
3.0,30.0,490.0,528.8488291198152
3.0,40.0,650.0,702.0254456533252
3.0,50.0,810.0,875.2020619559723
3.0,60.0,970.0,1048.3786780276932
3.0,70.0,1130.0,1221.5552938684248
3.0,80.0,1290.0,1394.7319094781037
3.0,90.0,1450.0,1567.9085248566669
3.0,100.0,1610.0,1741.085140004051
4.0,0.0,17.0,16.319678699363116
4.0,10.0,207.0,219.31966468980178
4.0,20.0,397.0,422.3196503722801
4.0,30.0,587.0,625.3196357467137
4.0,40.0,777.0,828.3196208130183
4.0,50.0,967.0,1031.3196055711096
4.0,60.0,1157.0,1234.3195900209032
4.0,70.0,1347.0,1437.319574162315
4.0,80.0,1537.0,1640.3195579952596
4.0,90.0,1727.0,1843.3195415196537
4.0,100.0,1917.0,2046.319524735412
5.0,0.0,26.0,25.31950743786462
5.0,10.0,246.0,258.14286160935967
5.0,20.0,466.0,490.966215395409
5.0,30.0,686.0,723.789568795907
5.0,40.0,906.0,956.612921810748
5.0,50.0,1126.0,1189.4362744398265
5.0,60.0,1346.0,1422.259626683037
5.0,70.0,1566.0,1655.0829785402732
5.0,80.0,1786.0,1887.9063300114299
5.0,90.0,2006.0,2120.729681096401
5.0,100.0,2226.0,2353.553031795081
6.0,0.0,37.0,36.31846279054767
6.0,10.0,287.0,298.9651845582507
6.0,20.0,537.0,561.6119058628233
6.0,30.0,787.0,824.2586267041388
6.0,40.0,1037.0,1086.9053470820697
6.0,50.0,1287.0,1349.5520669964894
6.0,60.0,1537.0,1612.1987864472708
6.0,70.0,1787.0,1874.845505434287
6.0,80.0,2037.0,2137.4922239574103
6.0,90.0,2287.0,2400.138942016514
6.0,100.0,2537.0,2662.785659611471
7.0,0.0,50.0,49.31654319399521
7.0,10.0,330.0,341.7866319718679
7.0,20.0,610.0,634.2567202087257
7.0,30.0,890.0,926.7268079044203
7.0,40.0,1170.0,1219.196895058803
7.0,50.0,1450.0,1511.666981671726
7.0,60.0,1730.0,1804.1370677430405
7.0,70.0,2010.0,2096.6071532725973
7.0,80.0,2290.0,2389.077238260249
7.0,90.0,2570.0,2681.547322705846
7.0,100.0,2850.0,2974.0174066092404
8.0,0.0,65.0,64.31374708105643
8.0,10.0,375.0,386.60720228186733
8.0,20.0,685.0,708.9006568635785
8.0,30.0,995.0,1031.19411082602
8.0,40.0,1305.0,1353.487564169022
8.0,50.0,1615.0,1675.7810168924145
8.0,60.0,1925.0,1998.0744689960275
8.0,70.0,2235.0,2320.367920479691
8.0,80.0,2545.0,2642.6613713432344
8.0,90.0,2855.0,2964.954821586488
8.0,100.0,3165.0,3287.2482712092815
9.0,0.0,82.0,81.31007288083565
9.0,10.0,422.0,433.42689391615727
9.0,20.0,762.0,785.5437142540932
9.0,30.0,1102.0,1137.660533894452
9.0,40.0,1442.0,1489.7773528370424
9.0,50.0,1782.0,1841.8941710816723
9.0,60.0,2122.0,2194.0109886281507
9.0,70.0,2462.0,2546.127805476285
