X1,y,Rzeczywiste wartości,Wartości z wyrażenia
-1.0,-1.0,-2.0,-2.4508417591755554
-1.0,-0.8,-1.2,-1.5184565655453532
-1.0,-0.6,-0.4,-0.6149626135788953
-1.0,-0.4,0.4,0.2636880620780481
-1.0,-0.2,1.2,1.1220273843614463
-1.0,0.0,2.0,1.9629595054598918
-1.0,0.2,2.8,2.7855555654675466
-1.0,0.4,3.6,3.584976343933387
-1.0,0.6,4.4,4.354964068144303
-1.0,0.8,5.2,5.09061337410931
-1.0,1.0,6.0,5.789433765149081
-0.98,-1.0,-2.0996,-2.5399112944764783
-0.98,-0.8,-1.2876,-1.5968645837368864
-0.98,-0.6,-0.4756,-0.6827805065374211
-0.98,-0.4,0.3364,0.20641957307521697
-0.98,-0.2,1.1484,1.0753307634777896
-0.98,0.0,1.9604,1.9269413326674292
-0.98,0.2,2.7724,2.760391736578808
-0.98,0.4,3.5844,3.570861210033605
-0.98,0.6,4.3964,4.352056313480451
-0.98,0.8,5.2084,5.099010253049113
-0.98,1.0,6.0204,5.809175572972009
-0.96,-1.0,-2.1984,-2.6282705609043924
-0.96,-0.8,-1.3744,-1.674561202819293
-0.96,-0.6,-0.5504,-0.7498847576763665
-0.96,-0.4,0.2736,0.14986833170358269
-0.96,-0.2,1.0976,1.0293563423485228
-0.96,0.0,1.9216,1.8916511975931007
-0.96,0.2,2.7456,2.735961824609565
-0.96,0.4,3.5696,3.557485045658766
-0.96,0.6,4.3936,4.349891245811231
-0.96,0.8,5.2176,5.10815214772068
-0.96,1.0,6.0416,5.829663574976543
-0.94,-1.0,-2.2964,-2.7159195584593028
-0.94,-0.8,-1.4604,-1.7515464227925732
-0.94,-0.6,-0.6244,-0.8162753669957306
-0.94,-0.4,0.2116,0.094034337963146
-0.94,-0.2,1.0476,0.9841041209736461
-0.94,0.0,1.8836,1.8570891002369063
-0.94,0.2,2.7196,2.71226582955982
-0.94,0.4,3.5556,3.544847850808869
-0.94,0.6,4.3916,4.348468865136648
-0.94,0.8,5.2276,5.118039058124014
-0.94,1.0,6.0636,5.850897771162686
-0.92,-1.0,-2.3936,-2.802858287141205
-0.92,-0.8,-1.5456,-1.827820243656726
-0.92,-0.6,-0.6976,-0.8819523344955136
-0.92,-0.4,0.1504,0.03891759185390769
-0.92,-0.2,0.9984,0.9395740993531599
-0.92,0.0,1.8464,1.823255040598846
-0.92,0.2,2.6944,2.6893037514295726
-0.92,0.4,3.5424,3.5329496254839166
-0.92,0.6,4.3904,4.3477891714567
-0.92,0.8,5.2384,5.128670984259112
-0.92,1.0,6.0864,5.872878161530434
-0.9,-1.0,-2.49,-2.889086746950104
-0.9,-0.8,-1.63,-1.9033826654117525
-0.9,-0.6,-0.77,-0.9469156601757156
-0.9,-0.4,0.09,-0.015481906624133986
-0.9,-0.2,0.95,0.895766277487064
-0.9,0.0,1.81,1.7901490186789188
-0.9,0.2,2.67,2.667075590218823
-0.9,0.4,3.53,3.521790369683905
-0.9,0.6,4.39,4.347852164771385
-0.9,0.8,5.25,5.140047926125975
-0.9,1.0,6.11,5.8956047460797905
-0.88,-1.0,-2.5856,-2.974604937885996
-0.88,-0.8,-1.7136,-1.9782336880576525
-0.88,-0.6,-0.8416,-1.0111653440363375
-0.88,-0.4,0.0304,-0.06916415747097822
-0.88,-0.2,0.9024,0.8526806553753579
-0.88,0.0,1.7744,1.7577710344771262
-0.88,0.2,2.6464,2.6455813459275697
-0.88,0.4,3.5184,3.511370083408838
-0.88,0.6,4.3904,4.348657845080706
-0.88,0.8,5.2624,5.152169883724605
-0.88,1.0,6.1344,5.919077524810755
-0.86,-1.0,-2.6804,-3.059412859948881
-0.86,-0.8,-1.7964,-2.052373311594426
-0.86,-0.6,-0.9124,-1.074701386077378
-0.86,-0.4,-0.0284,-0.1221291606866246
-0.86,-0.2,0.8556,0.8103172330180423
-0.86,0.0,1.7396,1.7261210879934674
-0.86,0.2,2.6236,2.6248210185558145
-0.86,0.4,3.5076,3.501688766658713
-0.86,0.6,4.3916,4.350206212384662
-0.86,0.8,5.2756,5.165036857055
-0.86,1.0,6.1596,5.943296497723328
-0.84,-1.0,-2.7744,-3.1435105131387626
-0.84,-0.8,-1.8784,-2.1258015360220734
-0.84,-0.6,-0.9824,-1.137523786298837
-0.84,-0.4,-0.0864,-0.17437691627107368
-0.84,-0.2,0.8096,0.7686760104151165
-0.84,0.0,1.7056,1.6951991792279422
-0.84,0.2,2.6016,2.604794608103557
-0.84,0.4,3.4976,3.49274641943353
-0.84,0.6,4.3936,4.352497266683253
-0.84,0.8,5.2896,5.178648846117161
-0.84,1.0,6.1856,5.968261664817504
-0.82,-1.0,-2.8676,-3.226897897455637
-0.82,-0.8,-1.9596,-2.1985183613405934
-0.82,-0.6,-1.0516,-1.1996325447007161
-0.82,-0.4,-0.1436,-0.22590742422432614
-0.82,-0.2,0.7644,0.7277569875665806
-0.82,0.0,1.6724,1.665005308180551
-0.82,0.2,2.5804,2.585502114570796
-0.82,0.4,3.4884,3.4845430417332914
-0.82,0.6,4.3964,4.355531007976477
-0.82,0.8,5.3044,5.193005850911087
-0.82,1.0,6.2124,5.993973026093293
-0.8,-1.0,-2.96,-3.309575012899504
-0.8,-0.8,-2.04,-2.2705237875499864
-0.8,-0.6,-1.12,-1.2610276612830134
-0.8,-0.4,-0.2,-0.27672068454637994
-0.8,-0.2,0.72,0.6875601644724358
-0.8,0.0,1.64,1.635539474851294
-0.8,0.2,2.56,2.5669435379575334
-0.8,0.4,3.48,3.4770786335579946
-0.8,0.6,4.4,4.35930743626434
-0.8,0.8,5.32,5.208107871436778
