X1,y,Rzeczywiste wartości,Wartości z wyrażenia
-1000.0,-1000.0,3993001.0,3993001.282645058
-1000.0,-800.0,3394401.0,3394401.1207122095
-1000.0,-600.0,2795801.0,2795800.9587840335
-1000.0,-400.0,2197201.0,2197200.796867546
-1000.0,-200.0,1598601.0,1598600.6349979148
-1000.0,0.0,1000001.0,1000000.424101384
-1000.0,200.0,401401.0,401400.3108385523
-1000.0,400.0,-197199.0,-197199.85103167986
-1000.0,600.0,-795799.0,-795800.0129482789
-1000.0,800.0,-1394399.0,-1394400.174876494
-1000.0,1000.0,-1992999.0,-1993000.33680936
-980.0,-1000.0,3893401.0,3893401.2826450565
-980.0,-800.0,3306801.0,3306801.1207122086
-980.0,-600.0,2720201.0,2720200.9587840317
-980.0,-400.0,2133601.0,2133600.796867543
-980.0,-200.0,1547001.0,1547000.634997909
-980.0,0.0,960401.0,960400.424103435
-980.0,200.0,373801.0,373800.3108385582
-980.0,400.0,-212799.0,-212799.85103167695
-980.0,600.0,-799399.0,-799400.0129482768
-980.0,800.0,-1385999.0,-1386000.1748764927
-980.0,1000.0,-1972599.0,-1972600.3368093588
-960.0,-1000.0,3794601.0,3794601.2826450556
-960.0,-800.0,3220001.0,3220001.1207122067
-960.0,-600.0,2645401.0,2645400.95878403
-960.0,-400.0,2070801.0,2070800.79686754
-960.0,-200.0,1496201.0,1496200.6349979027
-960.0,0.0,921601.0,921600.4241055715
-960.0,200.0,347001.0,347000.3108385643
-960.0,400.0,-227599.0,-227599.85103167393
-960.0,600.0,-802199.0,-802200.0129482747
-960.0,800.0,-1376799.0,-1376800.174876491
-960.0,1000.0,-1951399.0,-1951400.3368093576
-940.0,-1000.0,3696601.0,3696601.282645054
-940.0,-800.0,3134001.0,3134001.1207122053
-940.0,-600.0,2571401.0,2571400.9587840275
-940.0,-400.0,2008801.0,2008800.7968675368
-940.0,-200.0,1446201.0,1446200.6349978964
-940.0,0.0,883601.0,883600.4241077988
-940.0,200.0,321001.0,321000.3108385707
-940.0,400.0,-241599.0,-241599.85103167067
-940.0,600.0,-804199.0,-804200.0129482729
-940.0,800.0,-1366799.0,-1366800.1748764894
-940.0,1000.0,-1929399.0,-1929400.3368093562
-920.0,-1000.0,3599401.0,3599401.2826450528
-920.0,-800.0,3048801.0,3048801.1207122034
-920.0,-600.0,2498201.0,2498200.958784025
-920.0,-400.0,1947601.0,1947600.7968675336
-920.0,-200.0,1397001.0,1397000.6349978896
-920.0,0.0,846401.0,846400.4241101231
-920.0,200.0,295801.0,295800.31083857734
-920.0,400.0,-254799.0,-254799.8510316674
-920.0,600.0,-805399.0,-805400.0129482705
-920.0,800.0,-1355999.0,-1356000.1748764878
-920.0,1000.0,-1906599.0,-1906600.336809355
-900.0,-1000.0,3503001.0,3503001.2826450514
-900.0,-800.0,2964401.0,2964401.1207122016
-900.0,-600.0,2425801.0,2425800.958784023
-900.0,-400.0,1887201.0,1887200.79686753
-900.0,-200.0,1348601.0,1348600.6349978826
-900.0,0.0,810001.0,810000.4241125507
-900.0,200.0,271401.0,271400.3108385842
-900.0,400.0,-267199.0,-267199.85103166394
-900.0,600.0,-805799.0,-805800.0129482682
-900.0,800.0,-1344399.0,-1344400.1748764862
-900.0,1000.0,-1882999.0,-1883000.3368093537
-880.0,-1000.0,3407401.0,3407401.28264505
-880.0,-800.0,2880801.0,2880801.1207122
-880.0,-600.0,2354201.0,2354200.9587840205
-880.0,-400.0,1827601.0,1827600.7968675264
-880.0,-200.0,1301001.0,1301000.6349978754
-880.0,0.0,774401.0,774400.4241150885
-880.0,200.0,247801.0,247800.3108385915
-880.0,400.0,-278799.0,-278799.8510316602
-880.0,600.0,-805399.0,-805400.0129482659
-880.0,800.0,-1331999.0,-1332000.1748764843
-880.0,1000.0,-1858599.0,-1858600.336809352
-860.0,-1000.0,3312601.0,3312601.2826450486
-860.0,-800.0,2798001.0,2798001.1207121983
-860.0,-600.0,2283401.0,2283400.958784018
-860.0,-400.0,1768801.0,1768800.7968675226
-860.0,-200.0,1254201.0,1254200.6349978677
-860.0,0.0,739601.0,739600.4241177444
-860.0,200.0,225001.0,225000.31083859914
-860.0,400.0,-289599.0,-289599.8510316565
-860.0,600.0,-804199.0,-804200.0129482631
-860.0,800.0,-1318799.0,-1318800.1748764825
-860.0,1000.0,-1833399.0,-1833400.3368093506
-840.0,-1000.0,3218601.0,3218601.282645047
-840.0,-800.0,2716001.0,2716001.120712196
-840.0,-600.0,2213401.0,2213400.9587840154
-840.0,-400.0,1710801.0,1710800.7968675187
-840.0,-200.0,1208201.0,1208200.6349978596
-840.0,0.0,705601.0,705600.4241205269
-840.0,200.0,203001.0,203000.31083860705
-840.0,400.0,-299599.0,-299599.85103165254
-840.0,600.0,-802199.0,-802200.0129482604
-840.0,800.0,-1304799.0,-1304800.1748764804
-840.0,1000.0,-1807399.0,-1807400.336809349
-820.0,-1000.0,3125401.0,3125401.2826450453
-820.0,-800.0,2634801.0,2634801.1207121937
-820.0,-600.0,2144201.0,2144200.9587840126
-820.0,-400.0,1653601.0,1653600.7968675145
-820.0,-200.0,1163001.0,1163000.6349978512
-820.0,0.0,672401.0,672400.424123445
-820.0,200.0,181801.0,181800.31083861538
-820.0,400.0,-308799.0,-308799.85103164834
-820.0,600.0,-799399.0,-799400.0129482577
-820.0,800.0,-1289999.0,-1290000.1748764783
-820.0,1000.0,-1780599.0,-1780600.3368093474
-800.0,-1000.0,3033001.0,3033001.2826450435
-800.0,-800.0,2554401.0,2554401.120712192
-800.0,-600.0,2075801.0,2075800.9587840098
-800.0,-400.0,1597201.0,1597200.79686751
-800.0,-200.0,1118601.0,1118600.6349978426
-800.0,0.0,640001.0,640000.424126509
-800.0,200.0,161401.0,161400.31083862417
-800.0,400.0,-317199.0,-317199.8510316439
-800.0,600.0,-795799.0,-795800.0129482547
-800.0,800.0,-1274399.0,-1274400.174876476
-800.0,1000.0,-1752999.0,-1753000.3368093455
-780.0,-1000.0,2941401.0,2941401.2826450416
-780.0,-800.0,2474801.0,2474801.1207121895
-780.0,-600.0,2008201.0,2008200.9587840065
-780.0,-400.0,1541601.0,1541600.7968675054
-780.0,-200.0,1075001.0,1075000.6349978333
-780.0,0.0,608401.0,608400.4241297301
-780.0,200.0,141801.0,141800.31083863336
-780.0,400.0,-324799.0,-324799.85103163926
-780.0,600.0,-791399.0,-791400.0129482517
-780.0,800.0,-1257999.0,-1258000.1748764736
-780.0,1000.0,-1724599.0,-1724600.3368093437
-760.0,-1000.0,2850601.0,2850601.2826450397
-760.0,-800.0,2396001.0,2396001.120712187
-760.0,-600.0,1941401.0,1941400.9587840033
-760.0,-400.0,1486801.0,1486800.7968675005
-760.0,-200.0,1032201.0,1032200.6349978234
-760.0,0.0,577601.0,577600.4241331208
-760.0,200.0,123001.0,123000.31083864302
-760.0,400.0,-331599.0,-331599.8510316345
-760.0,600.0,-786199.0,-786200.0129482484
-760.0,800.0,-1240799.0,-1240800.1748764713
-760.0,1000.0,-1695399.0,-1695400.3368093418
-740.0,-1000.0,2760601.0,2760601.282645038
-740.0,-800.0,2318001.0,2318001.1207121843
-740.0,-600.0,1875401.0,1875400.958784
-740.0,-400.0,1432801.0,1432800.7968674954
-740.0,-200.0,990201.0,990200.6349978131
-740.0,0.0,547601.0,547600.4241366948
-740.0,200.0,105001.0,105000.31083865321
-740.0,400.0,-337599.0,-337599.85103162937
-740.0,600.0,-780199.0,-780200.0129482449
-740.0,800.0,-1222799.0,-1222800.174876469
-740.0,1000.0,-1665399.0,-1665400.33680934
-720.0,-1000.0,2671401.0,2671401.2826450355
-720.0,-800.0,2240801.0,2240801.1207121816
-720.0,-600.0,1810201.0,1810200.9587839963
-720.0,-400.0,1379601.0,1379600.79686749
-720.0,-200.0,949001.0,949000.6349978023
-720.0,0.0,518401.0,518400.4241404673
-720.0,200.0,87801.0,87800.31083866398
-720.0,400.0,-342799.0,-342799.8510316239
-720.0,600.0,-773399.0,-773400.0129482414
-720.0,800.0,-1203999.0,-1204000.1748764662
-720.0,1000.0,-1634599.0,-1634600.3368093376
-700.0,-1000.0,2583001.0,2583001.282645033
-700.0,-800.0,2164401.0,2164401.1207121788
-700.0,-600.0,1745801.0,1745800.9587839926
-700.0,-400.0,1327201.0,1327200.7968674845
-700.0,-200.0,908601.0,908600.6349977909
-700.0,0.0,490001.0,490000.4241444554
-700.0,200.0,71401.0,71400.31083867539
-700.0,400.0,-347199.0,-347199.8510316183
-700.0,600.0,-765799.0,-765800.0129482376
-700.0,800.0,-1184399.0,-1184400.1748764634
-700.0,1000.0,-1602999.0,-1603000.3368093353
-680.0,-1000.0,2495401.0,2495401.282645031
-680.0,-800.0,2088801.0,2088801.1207121762
-680.0,-600.0,1682201.0,1682200.9587839884
-680.0,-400.0,1275601.0,1275600.7968674784
-680.0,-200.0,869001.0,869000.6349977787
-680.0,0.0,462401.0,462400.4241486781
-680.0,200.0,55801.0,55800.31083868749
-680.0,400.0,-350799.0,-350799.85103161226
-680.0,600.0,-757399.0,-757400.0129482335
-680.0,800.0,-1163999.0,-1164000.17487646
-680.0,1000.0,-1570599.0,-1570600.336809333
-660.0,-1000.0,2408601.0,2408601.282645028
-660.0,-800.0,2014001.0,2014001.120712173
-660.0,-600.0,1619401.0,1619400.9587839842
-660.0,-400.0,1224801.0,1224800.796867472
-660.0,-200.0,830201.0,830200.6349977659
-660.0,0.0,435601.0,435600.4241531567
-660.0,200.0,41001.0,41000.310838700236
-660.0,400.0,-353599.0,-353599.85103160585
-660.0,600.0,-748199.0,-748200.0129482293
